iter	Passed	Remaining
888	1274	159
889	1275	157
890	1277	156
891	1278	154
892	1280	153
893	1281	151
894	1282	150
895	1283	149
896	1284	147
897	1285	146
898	1286	144
899	1287	143
900	1289	141
901	1291	140
902	1293	138
903	1295	137
904	1296	136
905	1297	134
906	1298	133
907	1299	131
908	1300	130
909	1301	128
910	1302	127
911	1302	125
912	1304	124
913	1305	122
914	1306	121
915	1308	119
916	1309	118
917	1310	117
918	1311	115
919	1312	114
920	1313	112
921	1314	111
922	1314	109
923	1315	108
924	1317	106
925	1318	105
926	1319	103
927	1320	102
928	1321	101
929	1323	99
930	1323	98
931	1325	96
932	1326	95
933	1326	93
934	1327	92
935	1328	90
936	1329	89
937	1330	87
938	1331	86
939	1333	85
940	1334	83
941	1336	82
942	1338	80
943	1339	79
944	1339	77
945	1340	76
946	1341	75
947	1342	73
948	1343	72
949	1344	70
950	1345	69
951	1346	67
952	1347	66
953	1349	65
954	1350	63
955	1352	62
956	1353	60
957	1354	59
958	1355	57
959	1356	56
960	1357	55
961	1358	53
962	1358	52
963	1359	50
964	1360	49
965	1361	47
966	1362	46
967	1364	45
968	1366	43
969	1367	42
970	1368	40
971	1369	39
972	1370	38
973	1371	36
974	1372	35
975	1373	33
976	1374	32
977	1374	30
978	1375	29
979	1376	28
980	1378	26
981	1380	25
982	1381	23
983	1382	22
984	1382	21
985	1383	19
986	1384	18
987	1385	16
988	1386	15
989	1387	14
990	1387	12
991	1388	11
992	1389	9
993	1390	8
994	1391	6
995	1392	5
996	1394	4
997	1395	2
998	1396	1
999	1397	0
